time,rss,heapTotal,heapUsed
1,79.015625,47.69921875,23.250518798828125
2,93.48828125,61.77734375,21.835792541503906
3,100.56640625,68.98046875,39.19117736816406
4,112.69921875,81.4140625,56.52020263671875
5,127.49609375,95.3125,59.05924987792969
6,132.1015625,100.0625,70.37358093261719
7,150.87109375,118.28515625,85.35755157470703
8,152.5546875,119.78515625,88.54808044433594
9,151.6015625,119.28515625,79.9078598022461
10,184.375,123.24609375,116.68360137939453
11,183.46875,119.49609375,113.1019287109375
12,183.84765625,120.74609375,113.71272277832031
13,183.67578125,122.49609375,116.68352508544922
14,183.0703125,120.74609375,114.40445709228516
15,183.68359375,122.74609375,117.09664154052734
